input_dec,input_hex,dut_ceil_log2
0,0x00000000,0
1,0x00000001,0
2,0x00000002,1
3,0x00000003,2
4,0x00000004,2
5,0x00000005,3
6,0x00000006,3
7,0x00000007,3
8,0x00000008,3
9,0x00000009,4
10,0x0000000a,4
11,0x0000000b,4
12,0x0000000c,4
13,0x0000000d,4
14,0x0000000e,4
15,0x0000000f,4
16,0x00000010,4
17,0x00000011,5
18,0x00000012,5
19,0x00000013,5
20,0x00000014,5
21,0x00000015,5
22,0x00000016,5
23,0x00000017,5
24,0x00000018,5
25,0x00000019,5
26,0x0000001a,5
27,0x0000001b,5
28,0x0000001c,5
29,0x0000001d,5
30,0x0000001e,5
31,0x0000001f,5
32,0x00000020,5
33,0x00000021,6
34,0x00000022,6
35,0x00000023,6
36,0x00000024,6
37,0x00000025,6
38,0x00000026,6
39,0x00000027,6
40,0x00000028,6
41,0x00000029,6
42,0x0000002a,6
43,0x0000002b,6
44,0x0000002c,6
45,0x0000002d,6
46,0x0000002e,6
47,0x0000002f,6
48,0x00000030,6
49,0x00000031,6
50,0x00000032,6
51,0x00000033,6
52,0x00000034,6
53,0x00000035,6
54,0x00000036,6
55,0x00000037,6
56,0x00000038,6
57,0x00000039,6
58,0x0000003a,6
59,0x0000003b,6
60,0x0000003c,6
61,0x0000003d,6
62,0x0000003e,6
63,0x0000003f,6
64,0x00000040,6
65,0x00000041,7
66,0x00000042,7
67,0x00000043,7
68,0x00000044,7
69,0x00000045,7
70,0x00000046,7
71,0x00000047,7
72,0x00000048,7
73,0x00000049,7
74,0x0000004a,7
75,0x0000004b,7
76,0x0000004c,7
77,0x0000004d,7
78,0x0000004e,7
79,0x0000004f,7
80,0x00000050,7
81,0x00000051,7
82,0x00000052,7
83,0x00000053,7
84,0x00000054,7
85,0x00000055,7
86,0x00000056,7
87,0x00000057,7
88,0x00000058,7
89,0x00000059,7
90,0x0000005a,7
91,0x0000005b,7
92,0x0000005c,7
93,0x0000005d,7
94,0x0000005e,7
95,0x0000005f,7
96,0x00000060,7
97,0x00000061,7
98,0x00000062,7
99,0x00000063,7
100,0x00000064,7
101,0x00000065,7
102,0x00000066,7
103,0x00000067,7
104,0x00000068,7
105,0x00000069,7
106,0x0000006a,7
107,0x0000006b,7
108,0x0000006c,7
109,0x0000006d,7
110,0x0000006e,7
111,0x0000006f,7
112,0x00000070,7
113,0x00000071,7
114,0x00000072,7
115,0x00000073,7
116,0x00000074,7
117,0x00000075,7
118,0x00000076,7
119,0x00000077,7
120,0x00000078,7
121,0x00000079,7
122,0x0000007a,7
123,0x0000007b,7
124,0x0000007c,7
125,0x0000007d,7
126,0x0000007e,7
127,0x0000007f,7
128,0x00000080,7
129,0x00000081,8
130,0x00000082,8
131,0x00000083,8
132,0x00000084,8
133,0x00000085,8
134,0x00000086,8
135,0x00000087,8
136,0x00000088,8
137,0x00000089,8
138,0x0000008a,8
139,0x0000008b,8
140,0x0000008c,8
141,0x0000008d,8
142,0x0000008e,8
143,0x0000008f,8
144,0x00000090,8
145,0x00000091,8
146,0x00000092,8
147,0x00000093,8
148,0x00000094,8
149,0x00000095,8
150,0x00000096,8
151,0x00000097,8
152,0x00000098,8
153,0x00000099,8
154,0x0000009a,8
155,0x0000009b,8
156,0x0000009c,8
157,0x0000009d,8
158,0x0000009e,8
159,0x0000009f,8
160,0x000000a0,8
161,0x000000a1,8
162,0x000000a2,8
163,0x000000a3,8
164,0x000000a4,8
165,0x000000a5,8
166,0x000000a6,8
167,0x000000a7,8
168,0x000000a8,8
169,0x000000a9,8
170,0x000000aa,8
171,0x000000ab,8
172,0x000000ac,8
173,0x000000ad,8
174,0x000000ae,8
175,0x000000af,8
176,0x000000b0,8
177,0x000000b1,8
178,0x000000b2,8
179,0x000000b3,8
180,0x000000b4,8
181,0x000000b5,8
182,0x000000b6,8
183,0x000000b7,8
184,0x000000b8,8
