test_value,floor_sqrt,remainder,dut_root,dut_remainder,result
0,0,0,0,0,PASS
1,1,0,1,0,PASS
2,1,1,1,1,PASS
3,1,2,1,2,PASS
4,2,0,2,0,PASS
5,2,1,2,1,PASS
6,2,2,2,2,PASS
7,2,3,2,3,PASS
8,2,4,2,4,PASS
9,3,0,3,0,PASS
10,3,1,3,1,PASS
11,3,2,3,2,PASS
12,3,3,3,3,PASS
13,3,4,3,4,PASS
14,3,5,3,5,PASS
15,3,6,3,6,PASS
16,4,0,4,0,PASS
17,4,1,4,1,PASS
18,4,2,4,2,PASS
19,4,3,4,3,PASS
20,4,4,4,4,PASS
21,4,5,4,5,PASS
22,4,6,4,6,PASS
23,4,7,4,7,PASS
24,4,8,4,8,PASS
25,5,0,5,0,PASS
26,5,1,5,1,PASS
27,5,2,5,2,PASS
28,5,3,5,3,PASS
29,5,4,5,4,PASS
30,5,5,5,5,PASS
31,5,6,5,6,PASS
32,5,7,5,7,PASS
33,5,8,5,8,PASS
34,5,9,5,9,PASS
35,5,10,5,10,PASS
36,6,0,6,0,PASS
37,6,1,6,1,PASS
38,6,2,6,2,PASS
39,6,3,6,3,PASS
40,6,4,6,4,PASS
41,6,5,6,5,PASS
42,6,6,6,6,PASS
43,6,7,6,7,PASS
44,6,8,6,8,PASS
45,6,9,6,9,PASS
46,6,10,6,10,PASS
47,6,11,6,11,PASS
48,6,12,6,12,PASS
49,7,0,7,0,PASS
50,7,1,7,1,PASS
51,7,2,7,2,PASS
52,7,3,7,3,PASS
53,7,4,7,4,PASS
54,7,5,7,5,PASS
55,7,6,7,6,PASS
56,7,7,7,7,PASS
57,7,8,7,8,PASS
58,7,9,7,9,PASS
59,7,10,7,10,PASS
60,7,11,7,11,PASS
61,7,12,7,12,PASS
62,7,13,7,13,PASS
63,7,14,7,14,PASS
64,8,0,8,0,PASS
65,8,1,8,1,PASS
66,8,2,8,2,PASS
67,8,3,8,3,PASS
68,8,4,8,4,PASS
69,8,5,8,5,PASS
70,8,6,8,6,PASS
71,8,7,8,7,PASS
72,8,8,8,8,PASS
73,8,9,8,9,PASS
74,8,10,8,10,PASS
75,8,11,8,11,PASS
76,8,12,8,12,PASS
77,8,13,8,13,PASS
78,8,14,8,14,PASS
79,8,15,8,15,PASS
80,8,16,8,16,PASS
81,9,0,9,0,PASS
82,9,1,9,1,PASS
83,9,2,9,2,PASS
84,9,3,9,3,PASS
85,9,4,9,4,PASS
86,9,5,9,5,PASS
87,9,6,9,6,PASS
88,9,7,9,7,PASS
89,9,8,9,8,PASS
90,9,9,9,9,PASS
91,9,10,9,10,PASS
92,9,11,9,11,PASS
93,9,12,9,12,PASS
94,9,13,9,13,PASS
95,9,14,9,14,PASS
96,9,15,9,15,PASS
97,9,16,9,16,PASS
98,9,17,9,17,PASS
99,9,18,9,18,PASS
100,10,0,10,0,PASS
101,10,1,10,1,PASS
102,10,2,10,2,PASS
103,10,3,10,3,PASS
104,10,4,10,4,PASS
105,10,5,10,5,PASS
106,10,6,10,6,PASS
107,10,7,10,7,PASS
108,10,8,10,8,PASS
109,10,9,10,9,PASS
110,10,10,10,10,PASS
111,10,11,10,11,PASS
112,10,12,10,12,PASS
113,10,13,10,13,PASS
114,10,14,10,14,PASS
115,10,15,10,15,PASS
116,10,16,10,16,PASS
117,10,17,10,17,PASS
118,10,18,10,18,PASS
119,10,19,10,19,PASS
120,10,20,10,20,PASS
121,11,0,11,0,PASS
122,11,1,11,1,PASS
123,11,2,11,2,PASS
124,11,3,11,3,PASS
125,11,4,11,4,PASS
126,11,5,11,5,PASS
127,11,6,11,6,PASS
128,11,7,11,7,PASS
129,11,8,11,8,PASS
130,11,9,11,9,PASS
131,11,10,11,10,PASS
132,11,11,11,11,PASS
133,11,12,11,12,PASS
134,11,13,11,13,PASS
135,11,14,11,14,PASS
136,11,15,11,15,PASS
137,11,16,11,16,PASS
138,11,17,11,17,PASS
139,11,18,11,18,PASS
140,11,19,11,19,PASS
141,11,20,11,20,PASS
142,11,21,11,21,PASS
143,11,22,11,22,PASS
144,12,0,12,0,PASS
145,12,1,12,1,PASS
146,12,2,12,2,PASS
147,12,3,12,3,PASS
148,12,4,12,4,PASS
149,12,5,12,5,PASS
150,12,6,12,6,PASS
151,12,7,12,7,PASS
152,12,8,12,8,PASS
153,12,9,12,9,PASS
154,12,10,12,10,PASS
155,12,11,12,11,PASS
156,12,12,12,12,PASS
157,12,13,12,13,PASS
158,12,14,12,14,PASS
159,12,15,12,15,PASS
160,12,16,12,16,PASS
161,12,17,12,17,PASS
162,12,18,12,18,PASS
163,12,19,12,19,PASS
164,12,20,12,20,PASS
165,12,21,12,21,PASS
166,12,22,12,22,PASS
167,12,23,12,23,PASS
168,12,24,12,24,PASS
169,13,0,13,0,PASS
170,13,1,13,1,PASS
171,13,2,13,2,PASS
172,13,3,13,3,PASS
173,13,4,13,4,PASS
174,13,5,13,5,PASS
175,13,6,13,6,PASS
176,13,7,13,7,PASS
177,13,8,13,8,PASS
178,13,9,13,9,PASS
179,13,10,13,10,PASS
180,13,11,13,11,PASS
181,13,12,13,12,PASS
182,13,13,13,13,PASS
183,13,14,13,14,PASS
184,13,15,13,15,PASS
185,13,16,13,16,PASS
186,13,17,13,17,PASS
187,13,18,13,18,PASS
188,13,19,13,19,PASS
189,13,20,13,20,PASS
190,13,21,13,21,PASS
191,13,22,13,22,PASS
192,13,23,13,23,PASS
193,13,24,13,24,PASS
194,13,25,13,25,PASS
195,13,26,13,26,PASS
196,14,0,14,0,PASS
197,14,1,14,1,PASS
198,14,2,14,2,PASS
199,14,3,14,3,PASS
200,14,4,14,4,PASS
201,14,5,14,5,PASS
202,14,6,14,6,PASS
203,14,7,14,7,PASS
204,14,8,14,8,PASS
205,14,9,14,9,PASS
206,14,10,14,10,PASS
207,14,11,14,11,PASS
208,14,12,14,12,PASS
209,14,13,14,13,PASS
210,14,14,14,14,PASS
211,14,15,14,15,PASS
212,14,16,14,16,PASS
213,14,17,14,17,PASS
214,14,18,14,18,PASS
215,14,19,14,19,PASS
216,14,20,14,20,PASS
217,14,21,14,21,PASS
218,14,22,14,22,PASS
219,14,23,14,23,PASS
220,14,24,14,24,PASS
221,14,25,14,25,PASS
222,14,26,14,26,PASS
223,14,27,14,27,PASS
224,14,28,14,28,PASS
225,15,0,15,0,PASS
226,15,1,15,1,PASS
227,15,2,15,2,PASS
228,15,3,15,3,PASS
229,15,4,15,4,PASS
230,15,5,15,5,PASS
231,15,6,15,6,PASS
232,15,7,15,7,PASS
233,15,8,15,8,PASS
234,15,9,15,9,PASS
235,15,10,15,10,PASS
236,15,11,15,11,PASS
237,15,12,15,12,PASS
238,15,13,15,13,PASS
239,15,14,15,14,PASS
240,15,15,15,15,PASS
241,15,16,15,16,PASS
242,15,17,15,17,PASS
243,15,18,15,18,PASS
244,15,19,15,19,PASS
245,15,20,15,20,PASS
246,15,21,15,21,PASS
247,15,22,15,22,PASS
248,15,23,15,23,PASS
249,15,24,15,24,PASS
250,15,25,15,25,PASS
251,15,26,15,26,PASS
252,15,27,15,27,PASS
253,15,28,15,28,PASS
254,15,29,15,29,PASS
255,15,30,15,30,PASS
256,16,0,16,0,PASS
257,16,1,16,1,PASS
258,16,2,16,2,PASS
287,16,31,16,31,PASS
288,16,32,16,32,PASS
289,17,0,17,0,PASS
290,17,1,17,1,PASS
291,17,2,17,2,PASS
510,22,26,22,26,PASS
511,22,27,22,27,PASS
512,22,28,22,28,PASS
513,22,29,22,29,PASS
514,22,30,22,30,PASS
959,30,59,30,59,PASS
960,30,60,30,60,PASS
961,31,0,31,0,PASS
962,31,1,31,1,PASS
963,31,2,31,2,PASS
